facility_name,tier,latitude,longitude,collected_at,hour_of_day,day_of_week,is_weekend,is_holiday,traffic_delay_index,traffic_data_source,parking_pressure_score,calibration_status
"Parking Spot (-1.2798, 36.7703)",tier2_other,-1.2798468,36.7703432,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2789, 36.7706)",tier2_other,-1.2789305,36.7705765,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2791, 36.7705)",tier2_other,-1.2791112,36.7704659,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2788, 36.7707)",tier2_other,-1.2787807,36.7707029,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2787, 36.7707)",tier2_other,-1.2787194,36.7707348,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2789, 36.7707)",tier2_other,-1.2788926,36.7707457,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3034, 36.8299)",tier2_other,-1.3033756,36.829947,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3029, 36.8310)",tier2_other,-1.3028636,36.8309549,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3034, 36.8302)",tier2_other,-1.3033846,36.8302347,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3053, 36.8393)",tier2_other,-1.3052961,36.8393059,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3054, 36.8394)",tier2_other,-1.3053841,36.8393676,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3052, 36.8391)",tier2_other,-1.3052274,36.8391124,2026-08-26T10:11:38,10,2,0,0,2.33,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3304, 36.8641)",tier2_other,-1.3303942,36.8641324,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3302, 36.8664)",tier2_other,-1.3301889,36.8663917,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3303, 36.8652)",tier2_other,-1.3302583,36.8651603,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3301, 36.8662)",tier2_other,-1.3301182,36.8661856,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3300, 36.8672)",tier2_other,-1.3299754,36.8672234,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3298, 36.8682)",tier2_other,-1.3298401,36.8682286,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3295, 36.8692)",tier2_other,-1.3295443,36.869246,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3295, 36.8693)",tier2_other,-1.3295287,36.8693011,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3303, 36.8627)",tier2_other,-1.3303347,36.8627339,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3301, 36.8634)",tier2_other,-1.3301331,36.8633672,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3299, 36.8631)",tier2_other,-1.3298516,36.8631307,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3306, 36.8624)",tier2_other,-1.3306497,36.8623681,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3305, 36.8627)",tier2_other,-1.330492,36.8627014,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3308, 36.8605)",tier2_other,-1.3308165,36.8605266,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3307, 36.8607)",tier2_other,-1.3306975,36.860731,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3289, 36.8710)",tier2_other,-1.3289241,36.8709662,2026-08-26T10:11:38,10,2,0,0,1.43,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2860, 36.7911)",tier2_other,-1.2860231,36.791122,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2885, 36.8228)",tier1_cbd,-1.2885495,36.8227608,2026-08-26T10:11:38,10,2,0,0,1.83,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2885, 36.8227)",tier1_cbd,-1.2885048,36.8227402,2026-08-26T10:11:38,10,2,0,0,1.83,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
Engineers Board of Kenya,tier1_cbd,-1.2918266,36.8125679,2026-08-26T10:16:44,10,2,0,0,,api_call_failed,,not_calibrated_insufficient_spotcheck_data
Lavington Mall,tier2_other,-1.2799426,36.7701821,2026-08-26T10:16:44,10,2,0,0,,api_call_failed,,not_calibrated_insufficient_spotcheck_data
Dean and Lecturers Parking Lot,tier2_other,-1.2688899,36.8180584,2026-08-26T10:16:44,10,2,0,0,,api_call_failed,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2781, 36.8120)",tier1_cbd,-1.2780602,36.8120329,2026-08-26T10:16:44,10,2,0,0,3.0,tomtom_flow_api,100.0,calibrated_n16
"Parking Spot (-1.2784, 36.8123)",tier1_cbd,-1.2783547,36.8122751,2026-08-26T10:16:44,10,2,0,0,3.0,tomtom_flow_api,100.0,calibrated_n16
Supa's Garage,tier2_other,-1.3064829,36.8341843,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2895, 36.8265)",tier2_other,-1.2895412,36.826501,2026-08-26T10:16:44,10,2,0,0,1.85,tomtom_flow_api,71.1,calibrated_n16
"Parking Spot (-1.2807, 36.8179)",tier1_cbd,-1.2807158,36.8179057,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.3071, 36.8348)",tier2_other,-1.3071314,36.8348198,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.3071, 36.8337)",tier2_other,-1.3070754,36.8337221,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
